Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Railroad Spike,The Stache (aka Dog Walk) Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106836663/railroad-spike,1.7,-1,Boulder,V2,1,10,43.42135,-89.73618
Shawn's Direct,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118878339/shawns-direct,2.1,-1,Boulder,V2,1,12,43.42157,-89.72333
Jaws 2,Jaws II > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107308228/jaws-2,2.4,-1,Boulder,V3,1,,43.42175,-89.72411
Group Leader,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106550694/group-leader,2.3,-1,Boulder,V3,1,10,43.4249,-89.73602
Left Anchor,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106490598/left-anchor,1.9,-1,Boulder,V1+,1,,43.41885,-89.737
West Face of Lake Boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272461/west-face-of-lake-boulder,2.1,-1,Boulder,V2-3,1,,43.40436,-89.72961
Farmer's Crack,2. Farmer's Wall > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113899751/farmers-crack,2.6,-1,Boulder,V0,1,15,43.41314,-89.71199
Monolith Traverse,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114427266/monolith-traverse,2.4,-1,Boulder,V3,1,,43.42252,-89.72392
The Good Life Arete,The Lost and Found Boulders > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107791019/the-good-life-arete,2.6,-1,Boulder,V2,1,,43.4179,-89.72497
Second Degree,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111864166/second-degree,2.7,-1,Boulder,V2,1,16,43.4,-89.74329
Middle Line,Fire Road Boulder > South of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107825472/middle-line,2.7,-1,Boulder,V2,1,,43.42186,-89.74337
Weekly Pickup,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107138653/weekly-pickup,2.7,-1,Boulder,V3-,1,15,43.4203,-89.73666
Funicular,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114622844/funicular,2.8,-1,Boulder,V0,1,10,43.41813,-89.72722
Safety Maple,Treeless Three > 500 ft. Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114174538/safety-maple,2.8,-1,Boulder,V1-,1,,43.42066,-89.73577
Summer Time Chi,Summertime Chi > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112295354/summer-time-chi,2.8,-1,Boulder,V1,1,15,43.42061,-89.7242
Humpback,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112834455/humpback,2.8,-1,Boulder,V3,1,,43.4036,-89.73417
Gnome Ladder,2. Thin Man Corridor > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112213832/gnome-ladder,2.8,-1,Boulder,V1-,1,11,43.42248,-89.72426
I Got Five On It,Purple Haze > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107098038/i-got-five-on-it,2.8,-1,Boulder,V2,1,11,43.41287,-89.72122
The Little Roof That Could,Saucer > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107809670/the-little-roof-that-could,2.3,-1,Boulder,V3,1,10,43.42435,-89.72505
Ripple Roof,Heavenly Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118851363/ripple-roof,2.6,-1,Boulder,V0,1,10,43.41953,-89.73738
Off-trail Connection,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114203562/off-trail-connection,2.4,-1,Boulder,V2-3,1,40,43.42252,-89.72392
Elephant Cheek,03. Double Elephant > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106496820/elephant-cheek,2.6,-1,Boulder,V3,1,,43.41637,-89.7379
Smokers Delight,Purple Haze > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107098030/smokers-delight,2.3,-1,Boulder,V1,1,11,43.41287,-89.72122
Jug Life,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107256695/jug-life,2.2,-1,Boulder,V0,1,,43.4249,-89.73602
Pit Crack,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107331994/pit-crack,2.1,-1,Boulder,V0,1,15,43.4,-89.74329
Super Sloper,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121155636/super-sloper,2.4,-1,Boulder,V3,1,,43.4,-89.74329
Meth Mouth,Meth Mouth > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106764681/meth-mouth,2.5,-1,Boulder,V2,1,15,43.40951,-89.74256
Chrome Dome Warm Up,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106474060/chrome-dome-warm-up,2,-1,Boulder,V0,1,,43.42699,-89.72633
Eubank's Lady Bits,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107485917/eubanks-lady-bits,1.6,-1,Boulder,V0,1,15,43.42737,-89.72684
The Raisin,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106815042/the-raisin,2.1,-1,Boulder,V3,1,,43.41885,-89.737
Stairway Slab,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274050/stairway-slab,2.1,-1,Boulder,V3+,1,,43.40436,-89.72961
Corner Roof,1.  Alpine Club > 06. Alpine Club/Beautiful Soup > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106437724/corner-roof,2.1,-1,Boulder,V2+,1,,43.41806,-89.73699
Leaning Tower South Face,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109664838/leaning-tower-south-face,2.6,-1,Boulder,V-easy PG13,1,20,43.41383,-89.7149
Hogleg Corner,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106488885/hogleg-corner,2.2,-1,Boulder,V3,1,15,43.41885,-89.737
Fallen Soldier,Fallen Soldier > 13. Mirror Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111415590/fallen-soldier,2.5,-1,Boulder,V0,1,14,43.41918,-89.72621
Bushmills Bulge,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435307/bushmills-bulge,2.6,-1,Boulder,V2,1,20,43.42748,-89.72686
Bachelor-ete,Bachelor > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107225863/bachelor-ete,2.6,-1,Boulder,V0,1,,43.41298,-89.71274
Shawn's Slab Arete,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111860454/shawns-slab-arete,1.9,-1,Boulder,V0,1,10,43.42157,-89.72333
Jameson Arete,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106257798/jameson-arete,2.1,-1,Boulder,V3,1,15,43.42748,-89.72686
Spotted Cow Right,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435447/spotted-cow-right,1.7,-1,Boulder,V2,1,,43.42157,-89.72333
Grand Central,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114255461/grand-central,2.3,-1,Boulder,V3-4,1,10,43.41813,-89.72722
Surprise ArÃªte,Surprise Boulder > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117407529/surprise-arete,2.7,-1,Boulder,V3-,1,12,43.41005,-89.74219
Winnie The Tu,"1.  The Instrumentals > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/119210953/winnie-the-tu,2.7,-1,Boulder,V2,1,15,43.42707,-89.73667
Slab Right of Seams Tight,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106485832/slab-right-of-seams-tight,2.3,-1,Boulder,V0+,1,15,43.40436,-89.72961
Short Boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272502/short-boulder,2.3,-1,Boulder,V3,1,,43.40436,-89.72961
Spring Cleaning,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108832496/spring-cleaning,2.7,-1,Boulder,V3,1,20,43.42252,-89.72392
Reign of Giants,"Hidden Treasure/ Reign of Giants > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/111105921/reign-of-giants,2.7,-1,Boulder,V3 PG13,1,,43.42527,-89.73681
Methier Mouth,Meth Mouth > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112289497/methier-mouth,2.7,-1,Boulder,V2,1,15,43.40951,-89.74256
To Crimp A Butterfly,To Crimp a Butterfly > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111372432/to-crimp-a-butterfly,2.7,-1,Boulder,V0 PG13,1,14,43.41991,-89.73778
Elbow Room,"Warbler > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109006929/elbow-room,2.7,-1,Boulder,V3,1,,43.42426,-89.73664
Pins and Needles,Beautiful & Bold > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/110709171/pins-and-needles,2.7,-1,Boulder,V3,1,15,43.42184,-89.73729
Ejaculator Left,06. Ejaculator Area > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107521378/ejaculator-left,2.7,-1,Boulder,V2,1,,43.40376,-89.72385
Alexander the Moderate,Fern Gully (SE of the FRB) > South of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108994623/alexander-the-moderate,2.7,-1,Boulder,V2,1,12,43.42061,-89.74277
Big Head,First Tower > West Bluff 04 - Great Tower Area > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106728324/big-head,2.7,-1,"Trad, Boulder",5.5 V-easy,1,18,43.41894,-89.7372
Spit Spot Spit,The Bunker > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106930060/spit-spot-spit,2.7,-1,Boulder,V2,1,15,43.41573,-89.72516
Right Side,Steinke Wall Boulder > Steinke Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486400/right-side,2.7,-1,Boulder,V2+,1,15,43.4273,-89.7192
Fustercluck,Fustercluck > 02. Ghost Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108101408/fustercluck,2.1,-1,Boulder,V3,1,10,43.40893,-89.73633
Lil Bud,Lil Bud > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112301870/lil-bud,2.5,-1,Boulder,V3,1,10,43.42072,-89.72443
The Seven Year Itch,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107583677/the-seven-year-itch,2.3,-1,Boulder,V3,1,8,43.4,-89.74329
Chrome Dome Arete,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107156896/chrome-dome-arete,2,-1,Boulder,V1,1,12,43.42699,-89.72633
Arete Right of Warm Up,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486310/arete-right-of-warm-up,2.3,-1,Boulder,V2,1,16,43.4,-89.74329
Right Anchor,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106490633/right-anchor,2.5,-1,Boulder,V2,1,,43.41885,-89.737
Broken Pottery Left,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435480/broken-pottery-left,1.8,-1,Boulder,V3,1,,43.42157,-89.72333
Arrow Right,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111860445/arrow-right,1.9,-1,Boulder,V1,1,10,43.42157,-89.72333
Weasel in yo Pants,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107631127/weasel-in-yo-pants,1.9,-1,Boulder,V3,1,,43.42818,-89.73615
Welcome Mat Crack,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120598547/welcome-mat-crack,2.2,-1,Boulder,V1,1,,43.40436,-89.72961
The Nose,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109595254/the-nose,2.4,-1,Boulder,V2-3,1,8,43.4,-89.74329
Capstone,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435595/capstone,2.4,-1,Boulder,V2,1,,43.41383,-89.7149
Super Slab Warmup,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108197991/super-slab-warmup,2.4,-1,Boulder,V-easy,1,20,43.42098,-89.73728
Squirrel Arete,"Fat Racoon > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107610966/squirrel-arete,2.4,-1,Boulder,V2 PG13,1,,43.42772,-89.73583
The Futballer Direct,Futballer > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107093505/the-futballer-direct,2.4,-1,Boulder,V3,1,,43.42207,-89.73704
Weasel Warmup,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107631170/weasel-warmup,2.1,-1,Boulder,V0,1,,43.42818,-89.73615
Mosstop Cocktail,3. Rail Gun > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107321032/mosstop-cocktail,2.1,-1,Boulder,V1+,1,,43.41305,-89.71168
Warm up 2,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272540/warm-up-2,2.1,-1,Boulder,V0,1,,43.40436,-89.72961
Le Ribbit,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118994759/le-ribbit,2.5,-1,Boulder,V3-4,1,,43.4,-89.74329
"Dude, Where's My Keys?",08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107826843/dude-wheres-my-keys,2.5,-1,Boulder,V3,1,8,43.41813,-89.72722
V2 Bulge AKA Bulgesaurus,2.  Keymaker > 06. Alpine Club/Beautiful Soup > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106437744/v2-bulge-aka-bulgesaurus,2.5,-1,Boulder,V2,1,,43.41808,-89.73706
Egyptian Divinity (Happy Scrambling),3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114239062/egyptian-divinity-happy-scrambling,2.1,-1,Boulder,V0-1,1,15,43.42737,-89.72676
V1 Face,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435299/v1-face,2.1,-1,Boulder,V1,1,20,43.42748,-89.72686
Easy route,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272422/easy-route,2.1,-1,Boulder,V1,1,,43.4036,-89.73417
Big Budâ€™s Baby Brother,3. Big Bud > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117739938/big-buds-baby-brother,2.3,-1,Boulder,V0- PG13,1,20,43.42737,-89.72676
Talus Scramble,The Wedge > 5. Monolith Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108963980/talus-scramble,2.4,-1,Boulder,4th V-easy,1,5,43.42281,-89.72442
Swimming Pools,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/113337060/swimming-pools,2.4,-1,Boulder,V0,1,,43.41357,-89.70137
Crack of Minimal Motion,1. East of Trail Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435390/crack-of-minimal-motion,2.4,-1,Boulder,V3,1,,43.42252,-89.72392
Spread Eagle,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107863633/spread-eagle,2.3,-1,Boulder,V2-,1,10,43.40436,-89.72961
Welcome Arete,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106921928/welcome-arete,2.3,-1,Boulder,V2,1,,43.42737,-89.72684
Easy Flakes,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272569/easy-flakes,2,-1,Boulder,V-easy,1,,43.40436,-89.72961
The Futballer,Futballer > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107093499/the-futballer,2.4,-1,Boulder,V2,1,,43.42207,-89.73704
45 Right,17. 45 Degree Boulder > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106510108/45-right,2.4,-1,Boulder,V3,1,,43.41943,-89.73877
Danger Zone,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121494803/danger-zone,2.1,-1,Boulder,V2,1,,43.40436,-89.72961
Its Bumpin,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117399229/its-bumpin,2.3,-1,Boulder,V2,1,15,43.40436,-89.72961
Ripple Prow,Heavenly Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118973408/ripple-prow,2.3,-1,Boulder,V3-,1,,43.41953,-89.73738
X Marks the Spot,"Hidden Treasure/ Reign of Giants > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/112958724/x-marks-the-spot,2.3,-1,Boulder,V2,1,15,43.42527,-89.73681
The Nipple,Old Sandstone Boulders > Sandstone Area > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105950953/the-nipple,2.3,-1,Boulder,V1-2,1,12,43.41351,-89.68646
Flying Fish,02. February Wall > East Bluff 02 - East of the Quarry > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106871326/flying-fish,2.3,-1,"Trad, TR, Boulder",5.8 V1 PG13,1,30,43.41404,-89.69763
Imaginos,Super Slab Area > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122267448/imaginos,2.5,-1,Boulder,V3,1,,43.42098,-89.73728
Incantation,The Realm > Southwest Bluff (Sauk Hill) > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121830817/incantation,2.5,-1,Boulder,V3,1,,43.41321,-89.75761
Big Dud Arete,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117345053/big-dud-arete,2.5,-1,Boulder,V0 R,1,27,43.42737,-89.72684
Crypt Keeper,09. Hidden Ledge > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122556176/crypt-keeper,2.5,-1,Boulder,V3,1,,43.41823,-89.72704
Puppy Love,14. Weisner Boulder aka Dogâ€™s Head Boulder > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120707775/puppy-love,2.5,-1,Boulder,V2,1,,43.41821,-89.73887
Elephant Ear,03. Double Elephant > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120562178/elephant-ear,2.5,-1,Boulder,V2,1,15,43.41637,-89.7379
Self Quarantine,Double Trouble Pillar > 02. Major Mass > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118666376/self-quarantine,2.5,-1,Boulder,V3 R,1,,43.41378,-89.72019
Neck Scratcher,14. Weisner Boulder aka Dogâ€™s Head Boulder > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120707801/neck-scratcher,2.5,-1,Boulder,V3,1,,43.41821,-89.73887
Little Dude,Black Rhino > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119943355/little-dude,2.5,-1,Boulder,V0,1,,43.41584,-89.725
The Believer,"2.  Edge of the Earth > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117928512/the-believer,2.5,-1,Boulder,V3,1,,43.42476,-89.73767
Simonâ€™s Butter Sculpture,B Sides and Rareities > 05. CCC Grottos > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118748327/simons-butter-sculpture,2.5,-1,Boulder,V3 PG13,1,,43.41256,-89.71353
Short String,Short String > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118938133/short-string,2.5,-1,Boulder,V1,1,9,43.42003,-89.72368
