Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Peaches,"Peaches > 4.  Peaches and Castle in the Sky > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107788711/peaches,3.1,-1,Boulder,V3+,1,15,43.42574,-89.73585
Big Red,"Big Red > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107648982/big-red,3.7,-1,Boulder,V0 X,1,,43.42678,-89.73591
Big Easy,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107274707/big-easy,2.9,-1,Boulder,V0,1,20,43.42157,-89.72367
Office Building,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730694/office-building,2,-1,Boulder,V1,1,20,43.42737,-89.72684
Entrance Slab,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107332011/entrance-slab,2.1,-1,Boulder,V0,1,11,43.4,-89.74329
Happy-Go Highball,"Happy Go Highball > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106571258/happy-go-highball,3.9,-1,Boulder,V3-4 PG13,1,25,43.42472,-89.73707
Welcome Face,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106921934/welcome-face,2.5,-1,Boulder,V0,1,12,43.42737,-89.72684
SW Corner of Lake Boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272469/sw-corner-of-lake-boulder,2.8,-1,Boulder,V3,1,,43.40436,-89.72961
Balanced Rock,Balanced Rock > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435582/balanced-rock,3.6,-1,Boulder,V0,1,,43.4143,-89.72487
Easy on Backside of Burma,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486510/easy-on-backside-of-burma,2.8,-1,Boulder,V1,1,14,43.4,-89.74329
North by Northwest,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/113506515/north-by-northwest,4,-1,Boulder,V2 R,1,,43.42818,-89.73615
Six Feet Under,"5.  Nature Walk > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109196898/six-feet-under,3.7,-1,Boulder,V3-4 PG13,1,17,43.4249,-89.73602
Arrow Head Arete,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730700/arrow-head-arete,2.3,-1,Boulder,V2,1,10,43.42157,-89.72333
Dorothy's Slab,04. Cloven Hoof > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117737816/dorothys-slab,4,-1,Boulder,V1,1,30,43.40403,-89.72506
Tombstone Classic,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111836969/tombstone-classic,3.4,-1,Boulder,V2,1,18,43.41383,-89.7149
Dumpster Diving,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105791963/dumpster-diving,2.6,-1,Boulder,V3,1,10,43.4203,-89.73666
Pocket Problem,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106766163/pocket-problem,2.1,-1,Boulder,V1,1,,43.4,-89.74329
Pearl of the Sea,Ocean Floor > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122105733/pearl-of-the-sea,3.8,-1,Boulder,V2 PG13,1,,43.41659,-89.72669
Atari Dream,10. Vulture Lookout West > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112887531/atari-dream,4,-1,Boulder,V0 PG13,1,,43.41278,-89.70451
The Howling,"3.  Larry Collins > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/117865659/the-howling,4,-1,Boulder,V2 R,1,,43.42388,-89.73805
Dreamo,Dreamo's Bluff > South of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108994674/dreamo,4,-1,Boulder,V3,1,12,43.41952,-89.74084
The Frito,Jockey Rocket > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122524542/the-frito,4,-1,Boulder,V3 PG13,1,20,43.41611,-89.72571
Gefilte Fish Pillar,Soapstones > Southwest Bluff (Sauk Hill) > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120376094/gefilte-fish-pillar,4,-1,Boulder,V2,1,12,43.40882,-89.75488
Out of the Frying Pan,The Firepit > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117070065/out-of-the-frying-pan,4,-1,Boulder,V3 PG13,1,15,43.42233,-89.74276
Hurricane,Fire Rhoad Bluff > North of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112339398/hurricane,4,-1,Boulder,V3 PG13,1,,43.42327,-89.74022
Midwest Connection,Midwest Connection > 07. Midwest Connection Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111014962/midwest-connection,4,-1,Boulder,V0-1 PG13,1,,43.40401,-89.72148
Slabby McGee,07. Hidden Peak Strikes > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108284397/slabby-mcgee,4,-1,Boulder,V-easy,1,5,43.4188,-89.73681
