,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
16,Shark's Fin Arete,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106471837/sharks-fin-arete,2.7,-1,Boulder,V2-3,1,15.0,43.42563,-89.7246,56,2519,15,"Jun25,2009"
17,A Slab Called Spot,"A Slab Called Spot > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107657164/a-slab-called-spot,3.2,-1,Boulder,V1,1,,43.42798,-89.7356,46,1738,13,"Jun14,2012"
18,Special K,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730697/special-k,2.6,-1,Boulder,V1,1,20.0,43.42737,-89.72684,55,3345,13,"Jun8,2002"
19,Boulder right of Bark Biter,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730709/boulder-right-of-bark-biter,2.6,-1,Boulder,V2,1,20.0,43.42157,-89.72333,51,2313,9,"Jun8,2002"
20,Sloper Problem,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486273/sloper-problem,2.6,-1,Boulder,V3,1,12.0,43.4,-89.74329,50,2098,13,"Jul12,2009"
21,Oil Can,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107544296/oil-can,2.4,-1,Boulder,V1,1,15.0,43.427479999999996,-89.72686,52,1350,10,"Apr5,2012"
22,Good Morning Veruca,"Good Morning, Veruca! > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/108127376/good-morning-veruca,3.4,-1,Boulder,V1 PG13,1,,43.424479999999996,-89.72497,31,3437,28,"May6,2013"
23,V-Dyno,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107160201/v-dyno,2.5,-1,Boulder,V2,1,,43.4,-89.74329,49,1969,14,"Jun3,2011"
24,Peaches,"Peaches > 4.  Peaches and Castle in the Sky > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107788711/peaches,3.1,-1,Boulder,V3+,1,15.0,43.425740000000005,-89.73585,38,2190,17,"Sep10,2012"
25,Big Red,"Big Red > 3.  Big Red > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107648982/big-red,3.7,-1,Boulder,V0 X,1,,43.42678,-89.73591,23,3148,24,"Jun9,2012"
26,Big Easy,6. Monolith Ridge - West Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107274707/big-easy,2.9,-1,Boulder,V0,1,20.0,43.42157,-89.72367,36,2309,16,"Sep5,2011"
27,Office Building,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730694/office-building,2.0,-1,Boulder,V1,1,20.0,43.42737,-89.72684,51,1053,4,"Jun8,2002"
28,Entrance Slab,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107332011/entrance-slab,2.1,-1,Boulder,V0,1,11.0,43.4,-89.74329,49,1486,11,"Oct17,2011"
29,Happy-Go Highball,"Happy Go Highball > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106571258/happy-go-highball,3.9,-1,Boulder,V3-4 PG13,1,25.0,43.42472,-89.73706999999999,12,4345,26,"Oct15,2009"
30,Welcome Face,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106921934/welcome-face,2.5,-1,Boulder,V0,1,12.0,43.42737,-89.72684,38,991,7,"Oct12,2010"
31,SW Corner of Lake Boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272469/sw-corner-of-lake-boulder,2.8,-1,Boulder,V3,1,,43.40436,-89.72961,32,1584,9,"Oct8,2008"
32,Balanced Rock,Balanced Rock > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435582/balanced-rock,3.6,-1,Boulder,V0,1,,43.4143,-89.72487,14,2499,15,"May18,2009"
33,Easy on Backside of Burma,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486510/easy-on-backside-of-burma,2.8,-1,Boulder,V1,1,14.0,43.4,-89.74329,29,1440,9,"Jul12,2009"
34,North by Northwest,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/113506515/north-by-northwest,4.0,-1,Boulder,V2 R,1,,43.42818,-89.73615,6,1033,15,"Aug24,2017"
