Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Variations,"L: Mollusk Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108411121/variations,2.5,-1,Boulder,V0-1,1,10,37.61563,-89.41242
"Pomona Animal Society","M: Bubble Wrap Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112396743/pomona-animal-society,2.8,-1,Boulder,V2-3,1,10,37.61798,-89.41305
Bioterrorism,"O: Bio-Terrorism Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112460448/bioterrorism,3.6,-1,Boulder,V4,1,10,37.61886,-89.41456
"Cross and Toss","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408977/cross-and-toss,2.7,-1,Boulder,V4,1,,37.61524,-89.41119
"Lowrider Traverse","L: Mollusk Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111289228/lowrider-traverse,2.5,-1,Boulder,V2,1,15,37.61563,-89.41242
"The Fisherman","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111289356/the-fisherman,2.7,-1,Boulder,V4-,1,,37.61524,-89.41119
"Cracked Shell","U: Vultures Nest Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108606872/cracked-shell,3.6,-1,Boulder,"V5 PG13",1,9,37.61953,-89.41095
Stiletto,"Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112562833/stiletto,2.7,-1,Boulder,V3,1,20,37.61516,-89.40749
Tubetown,"T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121810465/tubetown,4.0,-1,Boulder,V2,1,30,37.61793,-89.41492
"Brown Recluse","T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108587351/brown-recluse,3.7,-1,Boulder,V9,1,18,37.61793,-89.41492
"Chocolate and Cheese","V: Open Gates Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120119302/chocolate-and-cheese,3.5,-1,Boulder,V1,1,8,37.61992,-89.41143
